ID,manufacturer,Name,Model,cell,RFID_ID
1200,"НПП ""ПРОМА""","Измеритель давления многофункциональный, версия 016",ПРОМА-ИДМ-016,1,6174
1201,"НПП ""ПРОМА""","Измеритель давления многофункциональный, версия 016",ПРОМА-ИДМ-016,17,6223
1202,"НПП ""ПРОМА""","Измеритель давления многофункциональный, версия 010",ПРОМА-ИДМ-010,3,6211
1203,"НПП ""ПРОМА""","Измеритель давления многофункциональный, версия 010",ПРОМА-ИДМ-010,114,
